chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
橙子,chéngzi,cam,这个橙子很甜。,zhè ge chéng zi hěn tián 。,Quả cam này rất ngọt.,Đồ ăn & Thức uống
葡萄,pútao,nho,葡萄是我最喜欢的水果。,pú táo shì wǒ zuì xǐ huān de shuǐ guǒ 。,Nho là loại trái cây tôi thích nhất.,Đồ ăn & Thức uống
草莓,cǎoméi,dâu tây,草莓又红又甜。,cǎo méi yòu hóng yòu tián 。,Dâu tây vừa đỏ vừa ngọt.,Đồ ăn & Thức uống
面包,miànbāo,bánh mì,我早上吃面包。,wǒ zǎo shàng chī miàn bāo 。,Buổi sáng tôi ăn bánh mì.,Đồ ăn & Thức uống
牛肉,niúròu,thịt bò,这个牛肉很好吃。,zhè ge niú ròu hěn hǎo chī 。,Thịt bò này rất ngon.,Đồ ăn & Thức uống
鸡肉,jīròu,thịt gà,我不太喜欢吃鸡肉。,wǒ bù tài xǐ huān chī jī ròu 。,Tôi không thích ăn thịt gà lắm.,Đồ ăn & Thức uống
汤,tāng,canh,这碗汤很热。,zhè wǎn tāng hěn rè 。,Bát canh này rất nóng.,Đồ ăn & Thức uống
饺子,jiǎozi,bánh chẻo (sủi cảo),我们一起包饺子吧。,wǒ men yì qǐ bāo jiǎo zi ba 。,Chúng ta cùng gói sủi cảo nhé.,Đồ ăn & Thức uống
米粉,mǐfěn,bún,我早饭吃了米粉。,wǒ zǎo fàn chī le mǐ fěn 。,Bữa sáng tôi đã ăn bún.,Đồ ăn & Thức uống
火锅,huǒguō,lẩu,冬天我喜欢吃火锅。,dōng tiān wǒ xǐ huān chī huǒ guō 。,Mùa đông tôi thích ăn lẩu.,Đồ ăn & Thức uống
点菜,diǎn cài,gọi món,服务员，我们要点菜。,fú wù yuán ， wǒ men yào diǎn cài 。,"Nhân viên ơi, chúng tôi muốn gọi món.",Đồ ăn & Thức uống
关,guān,đóng,天冷了，请关窗。,tiān lěng le ， qǐng guān chuāng 。,"Trời lạnh rồi, làm ơn đóng cửa sổ.",Động từ thường dùng
跑,pǎo,chạy,小狗在公园里跑。,xiǎo gǒu zài gōng yuán lǐ pǎo 。,Chú chó chạy trong công viên.,Động từ thường dùng
洗澡,xǐzǎo,tắm,我每天晚上洗澡。,wǒ měi tiān wǎn shàng xǐ zǎo 。,Tôi tắm mỗi tối.,Động từ thường dùng
需要,xūyào,cần,你需要帮助吗？,nǐ xū yào bāng zhù ma ？,Bạn có cần giúp đỡ không?,Động từ thường dùng
结束,jiéshù,kết thúc,会议已经结束了。,huì yì yǐ jīng jié shù le 。,Cuộc họp đã kết thúc.,Động từ thường dùng
带,dài,mang,出门别忘了带伞。,chū mén bié wàng le dài sǎn 。,Ra ngoài đừng quên mang ô.,Động từ thường dùng
用,yòng,dùng,我可以用一下你的电脑吗？,wǒ kě yǐ yòng yī xià nǐ de diàn nǎo ma ？,Tôi dùng máy tính của bạn một chút được không?,Động từ thường dùng
换,huàn,đổi,我想换一件大一点的衣服。,wǒ xiǎng huàn yī jiàn dà yī diǎn de yī fú 。,Tôi muốn đổi một bộ quần áo to hơn một chút.,Động từ thường dùng
拿,ná,cầm,请帮我拿一下这本书。,qǐng bāng wǒ ná yī xià zhè běn shū 。,Làm ơn lấy giúp tôi cuốn sách này.,Động từ thường dùng
放,fàng,đặt,请把书放在桌子上。,qǐng bǎ shū fàng zài zhuō zi shàng 。,Làm ơn đặt sách lên bàn.,Động từ thường dùng
打开,dǎkāi,mở ra,请打开窗户。,qǐng dǎ kāi chuāng hù 。,Làm ơn mở cửa sổ ra.,Động từ thường dùng
关上,guānshàng,đóng lại,请关上门。,qǐng guān shàng mén 。,Làm ơn đóng cửa lại.,Động từ thường dùng
坏,huài,"xấu, hỏng",我的手机坏了。,wǒ de shǒu jī huài le 。,Điện thoại của tôi hỏng rồi.,Tính từ & Trạng thái
低,dī,thấp,今天气温很低。,jīn tiān qì wēn hěn dī 。,Hôm nay nhiệt độ rất thấp.,Tính từ & Trạng thái
旧,jiù,cũ,这是一件旧衣服。,zhè shì yī jiàn jiù yī fú 。,Đây là một bộ quần áo cũ.,Tính từ & Trạng thái
生气,shēngqì,tức giận,妈妈生气了。,mā mā shēng qì le 。,Mẹ giận rồi.,Tính từ & Trạng thái
干净,gānjìng,sạch,这个房间很干净。,zhè ge fáng jiān hěn gān jìng 。,Căn phòng này rất sạch.,Tính từ & Trạng thái
容易,róngyì,dễ,这个问题很容易。,zhè ge wèn tí hěn róng yì 。,Vấn đề này rất dễ.,Tính từ & Trạng thái
难,nán,khó,汉语很难，但很有意思。,hàn yǔ hěn nán ， dàn hěn yǒu yì si 。,"Tiếng Hán rất khó, nhưng rất thú vị.",Tính từ & Trạng thái
重要,zhòngyào,quan trọng,健康很重要。,jiàn kāng hěn zhòng yào 。,Sức khỏe rất quan trọng.,Tính từ & Trạng thái
一样,yíyàng,giống nhau,我们的衣服一样。,wǒ men de yī fú yī yàng 。,Quần áo của chúng tôi giống nhau.,Tính từ & Trạng thái
方便,fāngbiàn,tiện,坐地铁很方便。,zuò dì tiě hěn fāng biàn 。,Đi tàu điện ngầm rất tiện.,Tính từ & Trạng thái
特别,tèbié,đặc biệt,今天天气特别好。,jīn tiān tiān qì tè bié hǎo 。,Hôm nay thời tiết đặc biệt đẹp.,Tính từ & Trạng thái
简单,jiǎndān,đơn giản,这道题很简单。,zhè dào tí hěn jiǎn dān 。,Bài này rất đơn giản.,Tính từ & Trạng thái
复杂,fùzá,phức tạp,这个问题很复杂。,zhè ge wèn tí hěn fù zá 。,Vấn đề này rất phức tạp.,Tính từ & Trạng thái
安静,ānjìng,yên tĩnh,图书馆里很安静。,tú shū guǎn lǐ hěn ān jìng 。,Trong thư viện rất yên tĩnh.,Tính từ & Trạng thái
热闹,rènao,nhộn nhịp,春节很热闹。,chūn jié hěn rè nào 。,Tết rất nhộn nhịp.,Tính từ & Trạng thái
舒服,shūfu,thoải mái,这张床很舒服。,zhè zhāng chuáng hěn shū fú 。,Chiếc giường này rất thoải mái.,Tính từ & Trạng thái
比较,bǐjiào,khá,今天比较冷。,jīn tiān bǐ jiào lěng 。,Hôm nay khá lạnh.,Ngữ pháp & Liên từ
一定,yídìng,chắc chắn,你一定要来。,nǐ yí dìng yào lái 。,Bạn nhất định phải đến.,Ngữ pháp & Liên từ
应该,yīnggāi,nên,你应该多休息。,nǐ yīng gāi duō xiū xī 。,Bạn nên nghỉ ngơi nhiều hơn.,Ngữ pháp & Liên từ
不能,bùnéng,không thể,我今天不能去。,wǒ jīn tiān bù néng qù 。,Hôm nay tôi không thể đi.,Ngữ pháp & Liên từ
还是,háishi,hay là,你喝茶还是喝咖啡？,nǐ hē chá hái shì hē kā fēi ？,Bạn uống trà hay uống cà phê?,Ngữ pháp & Liên từ
然后,ránhòu,sau đó,我先吃饭，然后写作业。,wǒ xiān chī fàn ， rán hòu xiě zuò yè 。,"Tôi ăn cơm trước, sau đó làm bài tập.",Ngữ pháp & Liên từ
